Zip,Median,Pop
10001,71245,17678
10002,30844,70878
10003,89999,53609
10004,110184,1271
10005,115133,1517
10006,111220,972
10007,145459,3520
10009,56615,56975
10010,93702,27322
10011,92359,45899
10012,81317,26464
10013,69836,24723
10014,98450,32867
10016,96760,49904
10017,102524,16231
10018,84799,4255
10019,84786,39048
10020,113846,1
10021,113800,44173
10022,93107,26460
10023,108286,59002
10024,110999,61485
10025,65001,96117
10026,31542,25925
10027,38550,57049
10028,105456,40914
10029,32877,76271
10030,28525,26058
10031,31526,59450
10032,29536,54744
10033,36463,59049
10034,37866,37785
10035,23302,31078
10036,62393,18660
10037,40080,16994
10038,55937,15435
10039,28692,21738
10040,37107,46585
10044,102486,9519
10065,108155,31500
10069,54236,1843
10075,112268,25187
10110,36906,33
10128,105187,59434
10162,72258,1726
10165,85565,7
10170,104023,1
10171,104023,1
10199,84276,10
10278,104405,2
10280,98938,4298
10301,56776,38618
10302,59919,16580
10303,54758,22842
10304,46260,36662
10305,58938,37014
10306,75212,54812
10307,92781,11662
10308,75668,23972
10309,84917,27255
10310,65263,22793
10312,84524,55963
10314,78414,85260
10451,22970,37570
10452,27673,71254
10453,26324,77913
10454,18024,30078
10455,22829,37013
10456,21955,75975
10457,25474,68492
10458,25642,77840
10459,22843,38847
10460,23645,53752
10461,47716,48081
10462,46085,71130
10463,52302,62456
10464,1520,109
10465,61446,41282
10466,48470,68662
10467,35375,94492
10468,28765,76073
10469,57183,63256
10470,53208,15778
10471,56910,18127
10472,32632,64864
10473,36132,52624
10474,24244,11365
10475,47895,38149
10501,156900,1134
10502,123763,5184
10503,115875,109
10504,171989,7139
10505,123682,185
10506,186803,5506
10507,67031,5855
10509,85832,18988
10510,175217,9727
10511,88453,2213
10512,94768,23865
10514,189957,11974
10516,77414,5202
10517,76820,422
10518,163441,954
10519,137961,392
10520,95299,12434
10522,107195,10636
10523,80390,7710
10524,83074,4260
10526,158977,1675
10527,158207,895
10528,131616,12301
10530,105377,13240
10532,91259,5895
10533,113451,7547
10535,106333,454
10536,131968,11160
10537,86493,1783
10538,150774,16321
10541,95198,26329
10543,94724,20016
10545,112917,134
10546,176042,1243
10547,86362,7332
10548,82778,3027
10549,107169,15655
10550,42807,37904
10552,67770,19937
10553,56382,10435
10560,139313,4659
10562,84560,30926
10566,56245,22450
10567,108723,18741
10570,132183,12561
10573,73394,36472
10576,219554,4764
10577,193533,3419
10578,134186,764
10579,92600,8097
10580,161992,16560
10583,177857,38273
10588,88148,1914
10589,96884,7404
10590,149131,6755
10591,86347,21538
10594,110169,5038
10595,88432,7552
10596,85121,778
10597,162875,920
10598,107925,29337
10601,57212,9319
10603,84012,15421
10604,87092,10782
10605,113684,17347
10606,63803,15706
10607,99337,6924
10701,44417,61035
10703,54745,20903
10704,63087,30497
10705,36094,27216
10706,138152,8664
10707,97931,9712
10708,127637,21427
10709,96536,8888
10710,80118,25538
10801,58707,36356
10803,137572,11892
10804,158924,14322
10805,29677,11633
10901,86843,22177
10910,78571,42
10913,106055,5149
10914,82100,452
10915,82773,113
10916,105269,3887
10917,103897,1720
10918,88168,11572
10919,76796,783
10920,95166,8649
10921,84742,3804
10922,75547,1480
10923,80267,8256
10924,84649,12319
10925,74809,4870
10926,84067,2901
10927,46499,10121
10928,66151,3881
10930,104131,7253
10931,87257,1045
10932,76397,49
10933,85941,389
10940,57731,42813
10941,67488,12765
10950,65251,38803
10952,66193,31623
10953,66650,248
10954,93219,22066
10956,114523,32030
10958,100108,2916
10960,78145,14569
10962,117728,5329
10963,76427,4195
10964,79958,1384
10965,103487,14569
10968,92045,2408
10969,80186,1195
10970,89426,9366
10973,95946,2016
10974,87353,3048
10975,78571,359
10976,87986,2001
10977,67394,48755
10979,74809,264
10980,66696,9534
10983,91703,5646
10984,105625,2815
10985,82773,57
10987,78462,3003
10988,85941,751
10989,85642,9345
10990,91662,19282
10992,89904,8880
10993,54508,4710
10994,106989,7246
10996,92841,7122
10998,86132,2453
11001,96705,26707
11003,78863,40973
11004,75304,13390
11005,57104,2195
11010,82519,23829
11020,117295,5733
11021,100154,17512
11023,93125,8593
11024,121655,7993
11030,169390,17033
11040,98762,39784
11042,144293,514
11050,114602,28714
11096,55026,7976
11101,39955,22556
11102,48399,35943
11103,52495,44730
11104,50944,29376
